NUMERO RNA,NOM,OBJET,DATE DE RECONNAISSANCE D'UTILITE PUBLIQUE,DATE DE DERNIERE MODIFICATION STATUTAIRE,"ADRESSE
SIEGE SOCIAL",CP,VILLE
W332013426,"
TERRE NEGRE","Créer, d’administrer des partenariats, collaborations ou services susceptibles de contribuer à l’intérêt des personnes âgées ou au bon fonctionnement des établissements de l’association ; Permettre aux usagers de penser leur projet de vie, de choisir leur mde de vie, de leur apporter des réponses nécessitées par leur état de santé, leur isolement, leur dépendance ; Apporter un service d’aide et de soins au domicile, notamment au profit de personnes fragiles ; Créer, administrer, gérer tout établissement ou service d’hébergement au profit des personnes âgées ou leur famille.",25/06/1847,23/11/2018,95 rue Ernest Renan,33000,BORDEAUX
,"(ASSOCIATION POUR LA
COMMUNICATION, L'ESPACE ET LA REINSERTION
DES MALADES ADDICTIFS)
ACERMA","Favoriser chez les malades alcooliques la communication, l'espace et la réinsertion",27/10/1999,16/10/2006,"22, quai de la Loire",75019,PARIS
,(EX-TROUPES COLONIALES) FEDERATION  NATIONALE DES ANCIENS D'OUTRE-MER ET DES ANCIENS COMBATTANTS  DES TROUPES DE MARINE,Travailler par l'éducation des individus au progrès moral et social de la France. Elle se propose ainsi de continuer et d'étendre l'œuvre des foyers.,30/06/1920,04/12/2007,"234, rue de Tolbiac",75013,PARIS
,A DOMICILE 45,"Mettre en œuvre, organiser et gérer toute action individuelle, pluridisciplaire ou collective destinée à l’aide et au maintien à domicile de toutes personnes ou groupes de personnes, notamment des personnes handicapées, des personnes âgées, des personnes et des familles vulnérables, en situation de précarité ou de pauvreté, en tenant compte de leurs besoins et de leurs attentes, sur l’ensemble du Département du Loiret.",09/01/1961,25/01/2011,"8, boulevard de Quebec",45000,ORLEANS
W133003365,ABRI MATERNEL,"Aider les femmes attendant ou ayant un ou plusieurs enfants et les familles qui se trouvent en difficulté pour diverses raisons, et notamment à cause :
- de leur solitude,
- des difficultés de logement,
- du manque de qualification professionnelle,
- de manque de ressources,
- de leur état de santé,
en facilitant leur réinsertion familiale, sociale et professionnelle pour une plus grande autonomie.",27/04/1927,08/03/2016,"75, boulevard de la Blancarde",13004,MARSEILLE
,ACADEMIE ANQUETIN,"Diffusion de l'œuvre du peintre Louis ANQUETIN et de sa pensée par tous les moyens (réunions, conférences, articles, expositions etc.)",29/10/1974,02/01/1995,"130, rue d'Assas",75006,PARIS
,ACADEMIE CHABLAISIENNE,"Etude des questions historiques, archéologiques et scientifiques intéressant la Savoie et en particulier l'ancien Duché de Chablais.",17/11/1927,,Mairie,75203,THONON-LES-BAINS
,ACADEMIE D'ARCHITECTURE,Promotion de la qualité de l'architecture et de l'aménagement de l'espace.,04/08/1865,17/04/2002,"9, place des Vosges",75018,PARIS
,"ACADEMIE D ORLEANS - AGRICULTURE, SCIENCES, BELLES-LETTRES ET ARTS","Etude des questions relatives aux sciences agronomiques, physiques, naturelles, médicales, économiques et humaines ainsi qu'aux belles lettres, aux arts, spécialement en ce qui concerne Orléans et le département du Loiret.",05/03/1875,11/06/1996,"5, rue Antoine Petit",45000,ORLEANS
,ACADEMIE D'AGRICULTURE DE FRANCE,"Elle a pour mission, d'étudier toutes les questions se rattachant à la législation et à l'économie rurales.",23/08/1878,,"18, rue de Bellechasse",75009,PARIS
,ACADEMIE DE LA VAL D'ISERE,Etudes et communications intéressant l'histoire de la Tarentaise.; Musée de l'Académie de la Val d'Isère.,21/05/1877,,22 Place Saint-Pierre,73600,MOÛTIERS
W313003898,ACADEMIE DE L'AIR ET DE L'ESPACE,"Elaborer une pensée multidisciplinaire de haut niveau et de favoriser le développement d’activités de qualité de toute nature dans le domaine de l’air et de l’espace ; elle se propose de valoriser et d’enrichir le patrimoine scientifique, technique, culturel et humain, de diffuser les connaissances et d’être un pôle d’animation.",09/06/1987,29/06/2011,"1, avenue Camille Flammarion
BP 75825",31505,TOULOUSE CEDEX 5
,ACADEMIE DE LANGUE BASQUE EUSKALTZAINDIA,"Assurer la représentation et la promotion sur le territoire français de l'Académie de la Langue Basque "" Euskaltzaindia""",20/02/1995,,"18, rue Thiers",64000,BAYONNE
w313006644,ACADEMIE DE LEGISLATION,Contribuer au développement de la science du droit.,20/11/1871,,Hôtel d'Assezat,31000,TOULOUSE
,ACADEMIE DE MACON,"Susciter des travaux et des publications de littérature, sciences, arts, histoire, archéologie et tous autres domaines d'activité intellectuelle.",18/07/1829,29/01/2015,"41, rue Sigorgne",71000,MACON
W302000178,ACADEMIE DE NIMES,"Les travaux de l'académie comprennent les lettres et les beaux arts, les sciences et leurs applications au point de vue de l'utilité publique.",22/02/1878,,"16, rue Dorée",30000,NIMES
,ACADEMIE DE STANISLAS,"Enrichir la bibliothèque municipale de NANCY, par le dépôt des ouvrages reçus.",21/06/1864,,"43, rue de Stanislas",54000,NANCY
,ACADEMIE DE VILLEFRANCHE EN BEAUJOLAIS,"Grouper toutes les personnes qui s'intéressent au passé et au présent scientifique, littéraire, artistique et économique de Villefranche et du Beaujolais. L'Académie s'interdit rigoureusement toute discussion et toute activité politique et religieuse.",00/12/1695 (Lettre  patente),13/03/1728,96 Rue de la Sous-Préfecture,69400,VILLEFRANCHE SUR SAÔNE
W383003712,ACADEMIE DELPHINALE,"Encourager les lettres, les sciences, les arts et toutes études intéressant des départements de l'Isère, de la Drôme et des Hautes-Alpes qui constituaient l'ancienne province du Dauphiné.",15/02/1898,21/06/2005,"2, rue Auguste Prudhomme",38000,GRENOBLE
W313002969,ACADEMIE DES JEUX FLORAUX,"Maintenir les traditions littéraires, encourager les progrès de la littérature et  favoriser la pratique de la vertu.",01/03/1923,,Hôtel d'Assézat et de Clémence Isaure,31000,TOULOUSE
,ACADEMIE DES SCIENCES BELLES LETTRES ET ARTS D'ANGERS,"Promouvoir les recherches & les études d'ordre scientifique littéraire, artistique concernant particulièrement le patrimoine culturel de l'Anjou, toute prise de position personnelle politique, confessionnelle, étant interdite à la tribune de l'Académie.",05/05/1833,25/05/1982,"6, rue Emile Bordier",49100,ANGERS
W343019078,ACADEMIE DES SCIENCES ET LETTRES DE MONTPELLIER,Continue les travaux de l’ancienne société royale des sciences et de la société libre des sciences et belles lettres de Montpellier.,22/04/1884,,"10, rue de la Valfère",34000,MONTPELLIER
,ACADEMIE DES SCIENCES LETTRES ET ARTS D'AGEN,L'étude des sciences lettres et arts et spécialement de l'histoire locale et de l'économie régionale.,08/01/1861,21/06/1988,"9, boulevard de la République
BP 268",47007,AGEN CEDEX
,"ACADEMIE DES SCIENCES MORALES, DES LETTRES ET DES ARTS DE VERSAILLES ET D'ILE DE FRANCE","Développer et propager dans le département de Seine-et-Oise, le goût et l'étude de la littérature, de la philosophie, de l'histoire.",09/02/1929,05/04/2000,"5, rue de l'indépendance Américaine",78000,VERSAILLES
W133023905,"ACADEMIE DES SCIENCES, AGRICULTURE, ARTS ET BELLES LETTRES D'AIX",Réunir les hommes d'étude de cette ville; publier les tx et doc intéressant  particulièrement la région provençale; attribuer chaque année aux actes méritoires signalés ds l'arrt d'Aix le prix de vertu institué par MM Rambot et Reynier.,05/04/1829,03/11/1997,"Rue du 4 septembre
Musée Paul Arbaud",13100,AIX-EN-PROVENCE
W142007355,"ACADEMIE DES SCIENCES, ARTS ET BELLES LETTRES DE CAEN","Assembler en des réunions utiles, par l'émulation qu'elle excitent dans les esprits et par les lumières qui s'y communiquent des uns et des autres.",10/08/1853,12/03/1999,"12, place Saint-Pierre",14000,CAEN
W2112005149,"ACADEMIE DES SCIENCES, ARTS ET BELLES-LETTRES DE DIJON","Étude et développement des sciences, lettres et arts ; elle consacre ses travaux en particulier à la Bourgogne, sous tous ses aspects et dans tous les temps ; elle participe à l’action culturelle, économique et sociale.",22/10/1833,05/07/2013,5 rue de l'École de Droit,21000,DIJON
W251001596,"ACADEMIE DES SCIENCES, BELLES LETTRES ET ARTS DE BESANCON ET DE FRANCHE-COMTE","Société savante, elle  publie tous les deux ans un volume de procès-verbaux et mémoires. Elle publie aussi des Mémoires et Documents inédits relatifs à l'histoire de la Franche-Comté.",14/06/1829,,"20, rue Chifflet",25000,BESANÇON
,"ACADEMIE DES SCIENCES, BELLES LETTRES ET ARTS DE CLERMONT-FERRAND","Réaliser, encourager et promouvoir des travaux se rapportant aux questions scientifiques, littéraires, artistiques, sociétales et plus particulièrement celles qui concernent l’Auvergne.",11/02/1829,"02/09/1954
04/02/2013","19, rue Bardoux",63000,CLERMONT-FERRAND
,"ACADEMIE DES SCIENCES, BELLES LETTRES ET ARTS DE LA SAVOIE","Favoriser les progrès de l'agriculture, de l'économie rurale et des arts industriels en Savoie, rechercher des productions naturelles les plus utiles au pays.",14/07/1860,,Château des ducs de Savoie - BP 1801,73018,CHAMBERY CEDEX
,"ACADEMIE DES SCIENCES, BELLES LETTRES ET ARTS DE ROUEN","Développer le mouvement des idées et l'actualisation pluraliste des cultures par des communications privées et publiques et la publication d'un Précis Analytique des travaux de l'académie,",12/04/1852,03/04/2017,"190, rue Beauvoisine",76000,ROUEN
,"ACADEMIE DES SCIENCES, BELLES-LETTRES ET ARTS DE LYON","Encouragement des sciences, des belles-lettres et des arts.",27/07/1867,,"Palais St Jean - 4, avenue Alphonse Max",69005,LYON
W313005799,"ACADEMIE DES SCIENCES, INSCRIPTION ET BELLES-LETTRES DE TOULOUSE","Favoriser les progrès de la science, la littérature et les arts par les travaux qu'elle publie et par ceux qu'elle récompense.",08/08/1909,11/02/2008,Palais des Académies - Hôtel d'Assézat - rue de Metz,31000,TOULOUSE
,"ACADEMIE DES SCIENCES, LETTRES ET ARTS D'AMIENS",Contribuer au progrès intellectuel et moral et au développement de la prospérité publique en Picardie.,05/01/1877,23/12/1914,BP 60542,79004,AMIENS CEDEX 1
,"ACADEMIE DES SCIENCES, LETTRES ET ARTS D'ARRAS",Concourir au développement des connaissances humaines et spécialement provoquer et favoriser les études qui intéressent le département du Pas-de-Calais.,24/09/1828,08/02/1968,Palais Saint-Vaast,62000,ARRAS
W133009995,"ACADEMIE DES SCIENCES, LETTRES ET ARTS DE MARSEILLE",Étude des sciences des lettres et des beaux-arts. Distribuer des encouragements au bien.,16/08/1726,26/01/2021,"40, rue Adolphe Thiers",13000,MARSEILLE
,ACADEMIE DES SPORTS,"Encouragement à tous les sports :  étude, représentation, défense de leurs intérêts généraux, vulgarisation des moyens mécaniques, des découvertes ou applications scientifiques pouvant concourir à leur développement et à leurs progrès.",29/05/1910,27/06/1980,"9, rue de Chéroy",75017,PARIS
W362003212,ACADEMIE DU CENTRE,"Favoriser dans le Berry et le centre de la France, le développement de la culture intellectuelle sous toutes ses formes.",09/08/1972,,"32, rue Vieille Prison",36000,CHATEAUROUX
,ACADEMIE DU VAR,"Favoriser par son concours et ses encouragements le développement de la vie littéraire, scientifique et artistique,  et surtout l'étude des questions pouvant intéresser la région dont le Var fait partie.",25/06/1933,10/08/2012,"104, boulevard Eugène Pelletau",83000,TOULON
,ACADEMIE DU VAUCLUSE,Encourager l'étude des sciences des lettres et des arts spécialement en ce qui concerne le département du Vaucluse.,07/05/1919,11/09/1970,"Hôtel Salvati palasse - 5, rue Galante",84000,AVIGNON
,ACADEMIE FLORIMONTANE,"Développer les études littéraires, historiques et scientifiques qui se rattachent de près ou de loin à l'ancien duché de Savoie.",17/12/1896,10/10/1918,"10, rue Jean-Jacques Rousseau",74000,ANNECY
,"ACADEMIE INTERNATIONALE DE MUSIQUE ""MAURICE RAVEL""",Perpétuer et honorer le souvenir de Maurice Ravel dans ses villes de Ciboure et de St-Jean-de-Luz où il est né.,13/08/1975,26/11/2008,BP 251,64502,SAINT-JEAN-DE-LUZ CEDEX
,ACADEMIE LORRAINE DES SCIENCES,"Les progrès et la diffusion des sciences mathématiques, physiques et naturelles dans toutes leurs branches théoriques et appliquées.",26/04/1968,15/02/2002,"Hôtel de la communauté urbaine de Nancy
Viaduc Kennedy",54000,NANCY
,ACADEMIE NATIONALE DE CHIRURGIE,L'étude et les progrès de la chirurgie et tout ce qui peut concourir à cet objet.,29/08/1859,10/07/1997,"15, rue de l'Ecole de Médecine",75006,PARIS
,ACADEMIE NATIONALE DE CHIRURGIE DENTAIRE (ANCD),L'étude et les progrès des sciences de l'art et des techniques dentaires et de tout ce qui peut concourir à cet objet. Elle informe les pouvoirs publics et l'opinion sur ces différents problèmes.,23/07/1964,08/11/1983,BP 2016,75009,PARIS CX 16
,ACADEMIE NATIONALE DE METZ,"Travailler au progrès des lettres, des sciences et des arts, ainsi qu'à la prospérité de l'agriculture et de l'industrie dans le département de la Moselle.",05/09/1828,,20 En Nexirue,57000,METZ
,ACADEMIE NATIONALE DE REIMS,"Contribuer au développement des sciences, des arts et des belles-lettres ; recueillir et publier les matériaux qui peuvent servir à l'histoire du pays.",15/12/1846,05/12/1856,17 rue du Jard,51100,REIMS
W2336003027,"ACADEMIE NATIONALE DES SCIENCES, BELLES LETTRES ET ARTS DE BORDEAUX","Poursuivre par les travaux de ses membres et la publication de ces travaux et encourager par tous les moyens, le développement et le progrès des Sciences des Belles-Lettres et des Beaux-Arts à Bordeaux et dans la région du Sud-Ouest ; Créer, entretenir et développer toutes institutions ou tous organismes propres et assurer l’aide technique, morale ou matérielle sous toutes ses formes et suivant toutes modalités, aux hommes de sciences, aux écrivains, aux artistes des Beaux-Arts et d’une manière générale, aux travailleurs intellectuels ou autres. Organiser notamment tous concours et distributions de prix, bibliothèques ou archives, salles de conférences, d’exposition ou de travail, laboratoires, musées, etc.",05/09/1712,12/03/1894,"1, place Bardineau",33000,BORDEAUX
,ACADEMIE SALESIENNE,Etudes historiques et archéologiques concernant la Savoie.,23/02/1979,,"18, avenue des Trésums",74000,ANNECY
,ACADEMIE VETERINAIRE DE FRANCE,Elle peut être appelée par le gouvernement à donner son avis sur toutes questions de sa compétence.,16/04/1878,24/07/2006,"34, rue Bréguet",75019,PARIS
W062001134,"ACCOMPAGNEMENT, LIEUX D'ACCUEIL, CARREFOUR EDUCATIF  ET SOCIAL",Prendre toutes initiatives concernant l'encadrement des jeunes livrés à eux-mêmes.,10/07/1920,17/07/2019,"10, rue des chevaliers de Malte",06100,NICE
,ACCUEIL SAVOIE HANDICAP,S'occuper d'enfants paralysés.,11/04/1923,03/05/2013,B.P. 21,73232,SAINT-ALBAN-LEYSSE CEDEX
,ACOLEA,"Assurer à tous les enfants mineurs et aux jeunes adultes qui en auraient besoin, une éducation physique, morale, intellectuelle et professionnelle adaptés à leur situation, et de les mettre à même notamment d’acquérir des connaissances leur permettant de s’insérer socialement et professionnellement. Elle peut plus généralement assurer la promotion et la mise en œuvre de toute action à caractère social et médico-social.",31/03/1894,"04/11/2015
03/12/2020
","12-14, rue de Montbrillant",69003,LYON
,"ACTING FOR LIFE, LA VIE, PAS LA SURVIE","Promouvoir la justice et le développement; promouvoir la vie associative dans les pays en voie de développement et dans la coopération non gouvernementale internationale ; Favoriser l’aide aux réalisations pour le développement afin notamment de limiter les phénomènes de migration économique en permettant à chaque homme et à chaque femme de vivre et de s’épanouir dans son propre pays ; Promouvoir toute forme de coopération sincère et désintéressée avec les pays en voie de développement essentiellement par des projets économiques à fins sociales . Favoriser l’aide aux réfugiés et personnes déplacées afin d’améliorer leurs conditions de vie et d’adaptation, en contribuant à la réalisation de leurs initiatives, au Nord comme au Sud ; Lutter contre les abus sexuels et violence commis sur les enfants et adolescents des pays en voie de développement ; Sensibiliser les jeunes aux Droits de l’Homme, au Nord comme au Sud.",11/03/2002,06/07/2012,BP 07,93250,LE BOURGET CEDEX
,ACTION DES CHRETIENS POUR L'ABOLITION DE LA TORTURE (ACAT),Sensibiliser particulièrement les Chrétiens et les églises au scandale de la torture et des exécutions capitales sans distinction de régime politique ou de pays.,19/10/1992,02/05/2001,"7, rue Georges Lardennois",75181,PARIS
,ACTION PRIVEE EN FAVEUR DU MONDE CULTUREL,Venir en aide dans les difficultés de la vie.,05/07/1930,14/02/1968,"14, Square de l'Alboni",75001,PARIS
,ACTION SOCIALE DE L’UNION NATIONALE DES OFFICIERS DE RESERVE ET ORGANISATIONS DE RESERVISTES (ASUNOR),"Aider les organisations membres de l’Union Nationale des Officiers de Réserve et des Organisations de Réservistes (UNOR) dans l’assistance que celles-ci apportent à leurs adhérents, réservistes, réservistes admis à l’honorariat de leur grade, anciens réservistes et anciens militaires d’active, et à leurs familles ;

Oeuvrer à la coordination des activités d’assistance des organismes institutionnels et associatifs qui exercent une action sociale au profit des réservistes et de leurs familles.",24/02/1967,29/10/2020,"12, rue Marie Laurencin",75012,PARIS
,ACTIONAIDE  France - PEUPLES SOLIDAIRES,"- coordonner l'action de ses membres
- créer une dynamique en faveur du développement solidaire de tous les peuples et permettre à chacun/chacune d'être acteur /actrice de la construction collective d'un monde solidaire où les droits fondamentaux sont universellement respectés
- informer et favoriser la prise de conscience sur les causes de la pauvreté et des inégalités à l'échelle internationale
- mobiliser et intervenir collectivement auprès des décideurs pour dénoncer les pratiques et les décisions économiques et politiques contraires aux droits humains ; soutenir les décisions qui favorisent l'accès des populations pauvres aux droits humains
- créer des liens de solidarité et des partenariats avec des organisations des sociétés civiles des pays du Sud qui s'organisent en vue de leur développeemnt et qui défendent leurs droits
- soutenir et renforcer la lutte des femmes pour leurs droits.",27/11/2015,11/01/2017,"2B, rue Jules Ferry",93100,MONTREUIL
,ADAVIE,"Coordonner et de faciliter, sans s'immiscer dans leur fonctionnement,  l'action des œuvres, organismes ou institutions s'intéressant aux personnes âgées et notamment en ce qui concerne l'aide à domicile.",08/08/1977,27/11/2014,"20, rue des Etats-Unis",88010,EPINAL   CEDEX
,ADEDOM – Fédération nationale,"• promouvoir une aide et des soins à domicile ou de proximité, individuelle ou collective, à la famille et à toute personne pour leur permettre de garder et de retrouver leur autonomie, et l’amélioration de leur santé physique et mentale par des actions globales d’éducation sanitaire, individuelles ou collectives
• venir en aide et défendre les intérêts matériels et moraux de ses membres, de favoriser leur développement, d’assurer la réalisation des buts qui leur sont communs
• partager les informations et promouvoir l’information auprès des usagers comme des professionnels
• assumer les fonctions de représentant de l‘ensemble de ses membres, en leur qualité d’employeur avec pouvoir de négocier, d’appliquer et de gérer tout accord ou convention collective entrant dans le champ des activités spécifiques conformes aux codes APE appliqués à celles-ci
• représenter directement ou être mandataire de ses membres, auprès des partenaires sociaux, des collectivités publiques, des divers ministères et des organismes publics, semi-publics ou privés, y compris de siéger dans les instances en place, ou à venir, traitant des sujets ayant à voir, directement ou indirectement, avec les actions comprises dans l’objet social.",09/12/1938,"19/03/2018
06/03/2020","40, rue Gabriel Crié",92240,MALAKOFF
,AERO CLUB DE FRANCE,"A pour vocation, avec les Fédérations Françaises Aéronautiques Sportives, investies par la Loi sur le Sport de 1984 des pouvoirs sportifs, membres de droit de l’AéCF, de rassembler et stimuler toutes les énergies en vue d’assurer à la France son rayonnement dans les domaines concernés ;",20/04/1909,,16 rue Gallilée,75016,PARIS
W023000708,AERO-CLUB DE L'AISNE,"Créer et maintenir un centre de relations amicales, propager, stimuler le goût de l'aviation, créer une émulation, résoudre les différents problèmes.",09/03/1939,,Aérodrome de Sain-Quentin,02590,ROUPY
,AEROCLUB ROUEN NORMANDIE,Encourager la formation aérienne sous toutes ses formes.,29/07/1933,,Aérodrome de Rouen-Boos,76000,BOOS
W313003624,AGIR SOIGNER EDUQUER INSERER (ASEI),"Prise en charge globale et insertion des personnes handicapées quel que soit leur âge, la prise en charge des personnes dépendantes et fragilisées, la promotion des droits des personnes en situation de handicap et la lutte contre l’exclusion de ces personnes, dans le respect des valeurs qui ont toujours présidé à l’action de l’association : la laïcié, le refus de toutes les discriminations, le respect de la personne et la solidarité.",26/10/1959,"18/06/2007
07/10/2009","4 avenue de l'Europe
Parc technologique du Canal
BP 62243",31522,RAMONVILLE CEDEX
,AIDE AUX JEUNES DIABETIQUES,"Aider les jeunes diabétiques à résoudre les diverses difficultés causées par leur maladie, à leur intégration dans la société, parfaire leur éducation, guider leur orientation scolaire et professionnelle, leurs loisirs, leurs vacances…",05/10/1966,19/02/2007,Carrefour Longchamp,75006,PARIS
,AIDE ET PROTECTION DE L'ENFANCE ET DE LA JEUNESSE (AAPEJ),"Assurer à la Réunion avec l'aide des Pouvoirs publics, la protection de l'enfance inadaptée, son observation, sa formation humaine physique et morale.",07/11/1969,"18/06/2007
14/04/2017","Centre d’affaires Cap Savanna
12, rue Jules Thirel
Bâtiment C – 2ème étage",97460,SAINT PAUL
,AIDE FRATERNELLE AUX PETITES MINEURES,"Lutter contre la prostitution des mineures et le relèvement physique, moral et social des jeunes prostituées.",09/07/1936,,"3, villa Méquillet",92000,NEUILLY-SUR-SEINE
W381001125,AIDE MEDICALE ET DEVELOPPEMENT,"Contribuer à l’amélioration des soins dispensés aux populations défavorisées, dans les pays en voie de développement ainsi qu’en France.",14/03/2007,11/06/2010,5 rue Frédérico Garcia Lorca,38100,GRENOBLE
